fc;hs;a;As;k1
50;80;1500;301.5928947;495.8460825
50;90;1500;301.5928947;556.5136764
50;100;1500;301.5928947;619.4900325
50;110;1500;301.5928947;628.5859991
50;80;2000;301.5928947;366.8335651
50;90;2000;301.5928947;418.9429764
50;100;2000;301.5928947;469.6893834
50;110;2000;301.5928947;509.9397311
50;80;3000;301.5928947;359.1006027
50;90;3000;301.5928947;402.9114511
50;100;3000;301.5928947;451.3120074
50;110;3000;301.5928947;499.4436718
50;90;4500;301.5928947;375.0857673
50;100;4500;301.5928947;414.9374131
50;110;4500;301.5928947;476.6527585
50;80;1500;471.238898;581.9100603
50;90;1500;471.238898;656.4765879
50;100;1500;471.238898;817.2183588
50;110;1500;471.238898;910.2086231
50;80;2000;471.238898;508.4747334
50;90;2000;471.238898;594.798331
50;100;2000;471.238898;647.2693556
50;110;2000;471.238898;855.8924432
50;80;3000;471.238898;480.2225313
50;90;3000;471.238898;642.8836347
50;100;3000;471.238898;681.3444599
50;110;3000;471.238898;766.4070468
50;80;4500;471.238898;440.1483542
50;90;4500;471.238898;527.1210014
50;100;4500;471.238898;605.5076495
50;110;4500;471.238898;729.3370422
125;80;1500;301.5928947;663.2359759
125;90;1500;301.5928947;740.1019935
125;100;1500;301.5928947;775.3175707
125;110;1500;301.5928947;805.2758461
125;80;2000;301.5928947;473.4353268
125;90;2000;301.5928947;634.2327306
125;100;2000;301.5928947;673.7413074
125;110;2000;301.5928947;730.134446
125;80;3000;301.5928947;454.8354196
125;90;3000;301.5928947;594.1121929
125;100;3000;301.5928947;633.4353268
125;110;3000;301.5928947;676.6713027
125;80;4500;301.5928947;344.2744553
125;90;4500;301.5928947;476.9680111
125;100;4500;301.5928947;531.0894761
125;110;4500;301.5928947;599.9721836
125;80;1500;471.238898;701.149745
125;90;1500;471.238898;742.6518312
125;100;1500;471.238898;848.8363468
125;110;1500;471.238898;1017.802503
125;80;2000;471.238898;658.3495596
125;90;2000;471.238898;709.6
125;100;2000;471.238898;746.9633751
125;110;2000;471.238898;897.2925359
125;80;3000;471.238898;517.4594344
125;90;3000;471.238898;684.0797404
125;100;3000;471.238898;696.2076959
125;110;3000;471.238898;773.0644414
125;80;4500;471.238898;371.2471025
125;90;4500;471.238898;543.6161335
125;100;4500;471.238898;580.9921187
125;110;4500;471.238898;656.1520631
50;80;1500;301.5928947;517.9137691
50;90;1500;301.5928947;587.6309689
50;100;1500;301.5928947;640.2225313
50;110;1500;301.5928947;650.5146036
50;80;2000;301.5928947;375.9109875
50;90;2000;301.5928947;447.5753361
50;100;2000;301.5928947;505.0625869
50;110;2000;301.5928947;532.3968475
50;80;3000;301.5928947;362.4200278
50;90;3000;301.5928947;429.6337506
50;100;3000;301.5928947;455.7997218
50;110;3000;301.5928947;518.7019008
50;80;4500;301.5928947;367.69
50;90;4500;301.5928947;406.5183125
50;100;4500;301.5928947;426.0547056
50;110;4500;301.5928947;524.0890125
50;80;1500;471.238898;606.8057487
50;90;1500;471.238898;689.4761242
50;100;1500;471.238898;831.8776078
50;110;1500;471.238898;915.4381085
50;80;2000;471.238898;517.5892443
50;90;2000;471.238898;599.3787668
50;100;2000;471.238898;690.9782105
50;110;2000;471.238898;837.6077886
50;80;3000;471.238898;437.2183588
50;90;3000;471.238898;539.9536393
50;100;3000;471.238898;637.9415855
50;110;3000;471.238898;813.5187761
50;80;4500;471.238898;380.9550301
50;90;4500;471.238898;470.3662494
50;100;4500;471.238898;566.6852109
50;110;4500;471.238898;672.7862772
125;80;1500;301.5928947;585.5076495
125;90;1500;301.5928947;683.2359759
125;100;1500;301.5928947;730.6815021
125;110;1500;301.5928947;983.9592026
125;80;2000;301.5928947;545.5447381
125;90;2000;301.5928947;634.3532684
125;100;2000;301.5928947;704.8864163
125;110;2000;301.5928947;810.6815021
125;80;3000;301.5928947;471.6458044
125;90;3000;301.5928947;609.4019471
125;100;3000;301.5928947;679.3324061
125;110;3000;301.5928947;742.1974965
125;80;4500;301.5928947;355.2341215
125;90;4500;301.5928947;507.8442281
125;100;4500;301.5928947;562.772369
125;110;4500;301.5928947;641.0199351
125;80;1500;471.238898;680.5748725
125;90;1500;471.238898;784.5155308
125;100;1500;471.238898;871.9054242
125;110;1500;471.238898;928.2336579
125;80;2000;471.238898;547.3249884
125;90;2000;471.238898;645.1645804
125;100;2000;471.238898;766.5368567
125;110;2000;471.238898;884.459898
125;80;3000;471.238898;472.2577654
125;90;3000;471.238898;599.0635141
125;100;3000;471.238898;682.4478442
125;110;3000;471.238898;854.9837738
125;80;4500;471.238898;386.620306
125;90;4500;471.238898;510.4126101
125;100;4500;471.238898;643.2545202
125;110;4500;471.238898;712.294854
