d;p;tw;a0;k2
562.2;1.25;7;421.68;13.61096119
562.2;1.25;7;421.68;13.61531364
562.2;1.25;7;421.68;13.88429464
562.2;1.25;7;421.68;13.88429464
527.1;1.25;7;421.68;13.95393374
527.1;1.25;7;421.68;13.95567472
527.1;1.25;7;421.68;14.2342311
527.1;1.25;7;421.68;14.23597207
491.96;1.25;7;421.68;14.36741587
491.96;1.25;7;421.68;14.3804732
491.96;1.25;7;421.68;14.65554762
562.2;1.5;7;421.68;15.37808818
562.2;1.5;7;421.68;15.44999765
562.2;1.5;7;421.68;15.70642641
562.2;1.5;7;421.68;15.81964599
527.1;1.5;7;421.68;15.88263435
527.1;1.5;7;421.68;15.88502631
562.2;1.25;7;351.4;15.96628476
562.2;1.25;7;351.4;16.01978499
527.1;1.5;7;421.68;16.20395471
562.2;1.25;7;351.4;16.289305
562.2;1.25;7;351.4;16.29637107
527.1;1.5;7;421.68;16.31079573
527.1;1.25;7;351.4;16.32665422
527.1;1.25;7;351.4;16.34482411
491.96;1.25;7;421.68;16.40871185
491.96;1.5;7;421.68;16.45750279
491.96;1.5;7;421.68;16.48859831
527.1;1.25;7;351.4;16.706203
527.1;1.25;7;351.4;16.70923131
491.96;1.5;7;421.68;16.78121512
491.96;1.25;7;351.4;16.79503356
491.96;1.25;7;351.4;16.79806188
491.96;1.5;7;421.68;16.88167756
491.96;1.25;7;351.4;17.06051582
491.96;1.25;7;351.4;17.13622369
562.2;1.25;7;316.3;17.42569261
562.2;1.25;7;316.3;17.43446854
562.2;1.5;7;351.4;17.702829
562.2;1.5;7;351.4;17.71803068
562.2;1.25;7;316.3;17.76466265
562.2;1.25;7;316.3;17.78002051
527.1;1.25;7;316.3;17.86997373
527.1;1.25;7;316.3;17.87216771
562.2;1.5;7;351.4;18.07046824
562.2;1.5;7;351.4;18.14742698
527.1;1.5;7;351.4;18.22716736
527.1;1.5;7;351.4;18.2364395
527.1;1.25;7;316.3;18.28573309
491.96;1.25;7;316.3;18.29012105
491.96;1.25;7;316.3;18.29231503
527.1;1.25;7;316.3;18.29779999
527.1;1.5;7;351.4;18.60361613
527.1;1.5;7;351.4;18.69170144
491.96;1.25;7;316.3;18.80680353
491.96;1.5;7;351.4;18.85303662
491.96;1.5;7;351.4;18.86416319
562.2;1.5;7;316.3;19.01258487
562.2;1.5;7;316.3;19.04874905
491.96;1.5;7;351.4;19.22392211
491.96;1.5;7;351.4;19.30273528
562.2;1.5;7;316.3;19.47307323
562.2;1.5;7;316.3;19.58411144
527.1;1.5;7;316.3;19.68101751
527.1;1.5;7;316.3;19.70726291
527.1;1.5;7;316.3;20.10498158
527.1;1.5;7;316.3;20.22914248
491.96;1.5;7;316.3;20.35835058
491.96;1.5;7;316.3;20.36339777
491.96;1.5;7;316.3;20.76919194
491.96;1.5;7;316.3;20.88123959
562.2;1.25;10.5;421.68;45.17836313
562.2;1.25;10.5;421.68;45.22624001
562.2;1.25;10.5;421.68;46.35352287
562.2;1.25;10.5;421.68;46.4048817
527.1;1.25;10.5;421.68;46.48322568
527.1;1.25;10.5;421.68;46.52675012
527.1;1.25;10.5;421.68;47.11955292
527.1;1.25;10.5;421.68;47.18919201
491.96;1.25;10.5;421.68;47.8751371
491.96;1.25;10.5;421.68;47.88558297
491.96;1.25;10.5;421.68;48.5523773
491.96;1.25;10.5;421.68;48.82396978
562.2;1.5;10.5;421.68;50.75280755
562.2;1.5;10.5;421.68;50.88674197
562.2;1.5;10.5;421.68;52.15436135
562.2;1.5;10.5;421.68;52.4485728
527.1;1.5;10.5;421.68;52.89586988
527.1;1.5;10.5;421.68;53.00749482
562.2;1.25;10.5;351.4;53.31852824
562.2;1.25;10.5;351.4;53.34780195
527.1;1.5;10.5;421.68;53.95949609
527.1;1.5;10.5;421.68;54.02647106
562.2;1.25;10.5;351.4;54.42991975
562.2;1.25;10.5;351.4;54.4339575
491.96;1.5;10.5;421.68;54.71455908
527.1;1.25;10.5;351.4;54.72265684
527.1;1.25;10.5;351.4;54.74991167
491.96;1.5;10.5;421.68;54.95375538
491.96;1.5;10.5;421.68;55.72556211
491.96;1.5;10.5;421.68;55.79652368
527.1;1.25;10.5;351.4;55.84818049
527.1;1.25;10.5;351.4;55.86130318
491.96;1.25;10.5;351.4;56.0147378
491.96;1.25;10.5;351.4;56.0490587
491.96;1.25;10.5;351.4;57.14530864
491.96;1.25;10.5;351.4;57.17660122
562.2;1.25;10.5;316.3;58.48055859
562.2;1.25;10.5;316.3;58.54637801
562.2;1.5;10.5;351.4;58.65285335
562.2;1.5;10.5;351.4;58.73086221
562.2;1.25;10.5;316.3;59.56657909
562.2;1.25;10.5;316.3;59.57535501
527.1;1.25;10.5;316.3;59.93845884
527.1;1.25;10.5;316.3;60.01963613
562.2;1.5;10.5;351.4;60.4394993
562.2;1.5;10.5;351.4;60.44320816
527.1;1.5;10.5;351.4;60.89383403
527.1;1.5;10.5;351.4;60.97357441
527.1;1.25;10.5;316.3;61.20548276
527.1;1.25;10.5;316.3;61.22742257
491.96;1.25;10.5;316.3;61.65524882
491.96;1.25;10.5;316.3;61.71448631
527.1;1.5;10.5;351.4;62.12795549
527.1;1.5;10.5;351.4;62.17246175
491.96;1.25;10.5;316.3;62.89484798
491.96;1.5;10.5;351.4;62.95410292
491.96;1.25;10.5;316.3;62.95627945
491.96;1.5;10.5;351.4;62.96801113
562.2;1.5;10.5;316.3;64.01822703
562.2;1.5;10.5;316.3;64.02699318
491.96;1.5;10.5;351.4;64.06583217
491.96;1.5;10.5;351.4;64.21140473
562.2;1.5;10.5;316.3;65.59935396
562.2;1.5;10.5;316.3;65.60944834
527.1;1.5;10.5;316.3;66.47251804
527.1;1.5;10.5;316.3;66.56740524
527.1;1.5;10.5;316.3;67.77873114
527.1;1.5;10.5;316.3;67.83425024
491.96;1.5;10.5;316.3;68.56104578
491.96;1.5;10.5;316.3;68.5852723
491.96;1.5;10.5;316.3;69.73300358
491.96;1.5;10.5;316.3;69.75218291
527.1;1.25;14;421.68;104.8155434
527.1;1.25;14;421.68;105.2681976
562.2;1.25;14;421.68;105.9732934
562.2;1.25;14;421.68;106.0255227
527.1;1.25;14;421.68;107.1223385
527.1;1.25;14;421.68;107.8622539
562.2;1.25;14;421.68;108.4106617
491.96;1.25;14;421.68;108.6021693
491.96;1.25;14;421.68;108.7240377
562.2;1.25;14;421.68;108.8459061
491.96;1.25;14;421.68;109.8034437
491.96;1.25;14;421.68;110.2560978
562.2;1.5;14;421.68;117.9078297
562.2;1.5;14;421.68;118.0194546
562.2;1.5;14;421.68;119.8214001
562.2;1.5;14;421.68;120.347632
527.1;1.5;14;421.68;121.6951044
527.1;1.5;14;421.68;121.7110509
562.2;1.25;14;351.4;122.9798617
562.2;1.25;14;351.4;123.0303336
527.1;1.5;14;421.68;124.1986924
527.1;1.5;14;421.68;124.2784245
491.96;1.5;14;421.68;125.0518259
491.96;1.5;14;421.68;125.1235848
562.2;1.25;14;351.4;125.1400596
562.2;1.25;14;351.4;125.1501539
527.1;1.25;14;351.4;126.1595922
527.1;1.25;14;351.4;126.3009135
491.96;1.5;14;421.68;127.5314942
491.96;1.5;14;421.68;128.3846277
527.1;1.25;14;351.4;128.6831878
527.1;1.25;14;351.4;128.8547923
491.96;1.25;14;351.4;129.3595114
491.96;1.25;14;351.4;129.8844193
491.96;1.25;14;351.4;131.4793318
491.96;1.25;14;351.4;131.6206531
562.2;1.25;14;316.3;133.6463413
562.2;1.25;14;316.3;133.6463413
562.2;1.25;14;316.3;136.301058
562.2;1.25;14;316.3;136.4436668
527.1;1.25;14;316.3;137.2993193
527.1;1.25;14;316.3;137.4748378
562.2;1.5;14;351.4;137.8210478
562.2;1.5;14;351.4;138.3310153
527.1;1.25;14;316.3;139.2080826
527.1;1.25;14;316.3;139.2958419
562.2;1.5;14;351.4;139.9907279
562.2;1.5;14;351.4;140.0927214
527.1;1.5;14;351.4;141.0292072
527.1;1.5;14;351.4;141.1404729
527.1;1.5;14;351.4;144.932777
527.1;1.5;14;351.4;145.4158554
491.96;1.25;14;316.3;146.4591892
491.96;1.25;14;316.3;146.5359785
491.96;1.5;14;351.4;146.620306
491.96;1.5;14;351.4;146.7779323
491.96;1.25;14;316.3;148.7628691
491.96;1.25;14;316.3;148.8615982
562.2;1.5;14;316.3;149.669409
562.2;1.5;14;316.3;150.3154495
491.96;1.5;14;351.4;151.7014372
491.96;1.5;14;351.4;152.0723227
562.2;1.5;14;316.3;152.9904608
527.1;1.5;14;316.3;153.232726
562.2;1.5;14;316.3;153.3235754
